Name,Price,Date Posted
BMW 520d 2006,"Rs 11,500,000",27 Nov
Suzuki Celerio 2015,"Rs 4,690,000",27 Nov
Toyota CHR NGX50 2018,"Rs 4,850,000",27 Nov
Daihatsu Mira Pleo Edition 2015,"Rs 5,175,000",27 Nov
Honda Fit GP 5 S Grade 2015,"Rs 9,590,000",27 Nov
Hyundai Santa Fe 2004,"Rs 4,475,000",27 Nov
Suzuki Swift 2003,"Rs 4,090,000",27 Nov
Perodua Axia 2015,"Rs 5,650,000",27 Nov
Mercedes Benz C180 CONVERTIBLE ROOF TOP 2017,"Rs 30,000,000",27 Nov
Toyota Land Cruiser Prado TX-L Face lift 2017,"Rs 64,900,000",27 Nov
Toyota Prius CAA - MY CORDINATING 2013,"Rs 10,550,000",27 Nov
Land Rover Discovery 5 HSE 2017,"Rs 44,900,000",27 Nov
Honda CRV 2014 CAE - number,"Rs 14,650,000",27 Nov
Peugeot 3008 FULL OPTION AUTO 2020,"Rs 21,690,000",27 Nov
Toyota Sienta 7 Seater Full Option 2015,"Rs 15,090,000",27 Nov
N/A,N/A,N/A
Hyundai Tucson company maintained 2011,"Rs 8,350,000",27 Nov
Mercedes Benz GLA 200 AMG LINE 2019,"Rs 28,290,000",27 Nov
Toyota Axio 2011,"Rs 7,990,000",27 Nov
Peugeot 3008 2020,"Rs 22,790,000",27 Nov
Suzuki Wagon R Stingray 2018,"Rs 7,275,000",27 Nov
Honda Fit GP5 L grade 2015,"Rs 8,950,000",27 Nov
Toyota Yaris G Grade 2007,"Rs 6,275,000",27 Nov
Toyota Vitz 8 Air bags 2008,"Rs 5,690,000",27 Nov
Mercedes Benz C200 Amg Premium Plus 2019,"Rs 24,500,000",27 Nov
